j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;710;"Liceul ""Profesia""";4061204784;URBAN;Economic;Limba romana;-;28;1;Zi;Servicii;Tehnologica;Liceal;4.10;-
B;711;"Liceul ""Profesia""";4061204784;URBAN;Filologie;Limba romana;-;56;3;Zi;Umanist;Teoretica;Liceal;3.37;5.41
B;705;Liceul International Ioanid;4061205835;URBAN;Stiinte ale Naturii;Limba romana;Limba engleza;15;0;Zi;Real;Teoretica;Liceal;-;-
B;706;Liceul International Ioanid;4061205835;URBAN;Filologie;Limba romana;Limba engleza;15;1;Zi;Umanist;Teoretica;Liceal;7.62;-
B;701;Liceul Teoretic German „Idees”;4061209414;URBAN;Matematica-Informatica;Limba germana;-;15;3;Zi;Real;Teoretica;Liceal;8.03;8.11
B;702;Liceul Teoretic German „Idees”;4061209414;URBAN;Stiinte ale Naturii;Limba germana;-;15;3;Zi;Real;Teoretica;Liceal;8.50;-
B;703;Liceul Teoretic German „Idees”;4061209414;URBAN;Filologie;Limba germana;-;15;2;Zi;Umanist;Teoretica;Liceal;6.35;-
B;704;Liceul Teoretic German „Idees”;4061209414;URBAN;Stiinte Sociale;Limba germana;-;15;1;Zi;Umanist;Teoretica;Liceal;7.11;8.11
B;709;"Liceul Teoretic ""Dr. Mioara Mincu""";4061207041;URBAN;Stiinte ale Naturii;Limba romana;-;78;2;Zi;Real;Teoretica;Liceal;6.75;6.73
B;712;"Liceul Teoretic ""Atlas""";4061205541;URBAN;Filologie;Limba romana;-;52;3;Zi;Umanist;Teoretica;Liceal;6.32;6.53
B;707;LICEUL FEG;4061205057;URBAN;Stiinte Sociale;Limba romana;-;90;6;Zi;Umanist;Teoretica;Liceal;3.62;-
B;708;"LICEUL PARTICULAR ""ONICESCU-MIHOC""";4061204445;URBAN;Economic;Limba romana;-;25;5;Zi;Servicii;Tehnologica;Liceal;2.75;-
B;362;"Colegiul Economic ""Viilor""";4061101019;URBAN;Turism Si alimentatie;Limba romana;-;216;216;Zi;Servicii;Tehnologica;Liceal;5.92;6.50
B;363;"Colegiul Economic ""Viilor""";4061101019;URBAN;Economic;Limba romana;-;120;120;Zi;Servicii;Tehnologica;Liceal;6.80;6.90
B;364;"Colegiul Economic ""Viilor""";4061101019;URBAN;Comert;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;5.82;6.21
B;332;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.90;9.84
B;333;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Stiinte ale Naturii;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.85;9.80
B;334;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.65;9.63
B;335;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;9.72;9.69
B;353;"Colegiul Tehnic de Industrie Alimentara ""Dumitru Motoc""";4061103482;URBAN;Industrie alimentara;Limba romana;-;120;120;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;4.75;5.54
B;357;"Colegiul Tehnologic ""Grigore Cerchez""";4061103143;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.70;7.52
B;358;"Colegiul Tehnologic ""Grigore Cerchez""";4061103143;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.90;7.90
B;359;"Colegiul Tehnologic ""Grigore Cerchez""";4061103143;URBAN;Mecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;5.42;6.00
B;360;"Colegiul Tehnologic ""Grigore Cerchez""";4061103143;URBAN;Economic;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;7.02;6.59
B;361;"Colegiul Tehnologic ""Grigore Cerchez""";4061103143;URBAN;Turism Si alimentatie;Limba romana;-;96;96;Zi;Servicii;Tehnologica;Liceal;5.85;6.10
B;336;"Liceul Teoretic ""Ion Barbu""";4061101887;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.15;9.15
B;337;"Liceul Teoretic ""Ion Barbu""";4061101887;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.07;9.06
B;338;"Liceul Teoretic ""Ion Barbu""";4061101887;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.97;9.01
B;354;"Liceul Tehnologic ""Dimitrie Gusti""";4061102115;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.52;7.45
B;355;"Liceul Tehnologic ""Dimitrie Gusti""";4061102115;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;7.52;7.50
B;356;"Liceul Tehnologic ""Dimitrie Gusti""";4061102115;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.97;5.32
B;339;"Liceul Teoretic ""Dimitrie Bolintineanu""";4061103618;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.32;8.20
B;340;"Liceul Teoretic ""Dimitrie Bolintineanu""";4061103618;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.25;8.24
B;341;"Liceul Teoretic ""Dimitrie Bolintineanu""";4061103618;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.27;8.36
B;342;"Liceul Teoretic ""Dimitrie Bolintineanu""";4061103618;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.37;8.47
B;343;"Liceul Teoretic ""Stefan Odobleja""";4061101557;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;8.75;8.70
B;344;"Liceul Teoretic ""Stefan Odobleja""";4061101557;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.75;8.79
B;345;"Liceul Teoretic ""Stefan Odobleja""";4061101557;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.72;8.79
B;346;"Liceul Teoretic ""Stefan Odobleja""";4061101557;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.70;8.76
B;347;Colegiul Tehnic Energetic;4061100131;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.25;-
B;348;Colegiul Tehnic Energetic;4061100131;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;7.20;7.24
B;349;Colegiul Tehnic Energetic;4061100131;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;5.75;6.09
B;350;Colegiul Tehnic Energetic;4061100131;URBAN;Electric;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.75;4.84
B;351;Colegiul Tehnic Energetic;4061100131;URBAN;Electromecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.60;4.04
B;352;Colegiul Tehnic Energetic;4061100131;URBAN;Mecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.67;5.07
B;368;"Colegiul National ""Grigore Moisil""";4061103419;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.67;9.65
B;369;"Colegiul National ""Grigore Moisil""";4061103419;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.67;9.63
B;370;"Colegiul National ""Grigore Moisil""";4061103419;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.37;9.36
B;371;"Colegiul National ""Grigore Moisil""";4061103419;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.50;9.47
B;365;"Colegiul National ""Elena Cuza""";4061100167;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.37;9.34
B;367;"Colegiul National ""Elena Cuza""";4061100167;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.17;9.16
B;366;"Colegiul National ""Elena Cuza""";4061100167;URBAN;Filologie;Limba romana;Limba engleza;26;26;Zi;Umanist;Teoretica;Liceal;9.20;9.21
B;372;"Liceul Teoretic ""Marin Preda""";4061103636;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.57;8.47
B;373;"Liceul Teoretic ""Marin Preda""";4061103636;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.42;8.52
B;374;"Liceul Teoretic ""Marin Preda""";4061103636;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.37;8.43
B;403;"Colegiul Tehnic ""Gheorghe Asachi""";4061101634;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.87;-
B;404;"Colegiul Tehnic ""Gheorghe Asachi""";4061101634;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.95;7.99
B;405;"Colegiul Tehnic ""Gheorghe Asachi""";4061101634;URBAN;Industrie textila Si pielarie;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;5.77;5.98
B;406;"Colegiul Tehnic ""Gheorghe Asachi""";4061101634;URBAN;Productie media;Limba romana;-;72;72;Zi;Tehnic;Tehnologica;Liceal;6.80;6.72
B;383;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";4061102264;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.60;7.41
B;384;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";4061102264;URBAN;Stiinte Sociale;Limba romana;-;78;78;Zi;Umanist;Teoretica;Liceal;7.42;7.57
B;385;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";4061102264;URBAN;Electronica automatizari;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;5.32;4.84
B;386;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";4061102264;URBAN;Economic;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;6.85;6.30
B;387;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";4061102264;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;6.27;6.29
B;407;"Colegiul Tehnic ""Carol I""";4061103871;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.48;7.24
B;408;"Colegiul Tehnic ""Carol I""";4061103871;URBAN;Protectia mediului;Limba romana;-;48;48;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;6.32;6.52
B;409;"Colegiul Tehnic ""Carol I""";4061103871;URBAN;Electric;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;5.12;-
B;410;"Colegiul Tehnic ""Carol I""";4061103871;URBAN;Electronica automatizari;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.90;5.39
B;411;"Colegiul Tehnic ""Carol I""";4061103871;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.20;4.04
B;412;"Colegiul Economic ""Costin C. Kiritescu""";4061101177;URBAN;Economic;Limba romana;-;120;120;Zi;Servicii;Tehnologica;Liceal;8.25;8.19
B;413;"Colegiul Economic ""Costin C. Kiritescu""";4061101177;URBAN;Turism Si alimentatie;Limba romana;-;72;72;Zi;Servicii;Tehnologica;Liceal;8.17;8.05
B;401;"Liceul cu Program Sportiv ""Mircea Eliade""";4061100886;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.15;8.05
B;402;"Liceul cu Program Sportiv ""Mircea Eliade""";4061100886;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.20;8.17
B;388;"Colegiul Tehnic ""Petru Maior""";4061100289;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.32;8.23
B;389;"Colegiul Tehnic ""Petru Maior""";4061100289;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.22;8.29
B;390;"Colegiul Tehnic ""Petru Maior""";4061100289;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.22;8.29
B;391;"Colegiul Tehnic ""Petru Maior""";4061100289;URBAN;Protectia mediului;Limba romana;-;24;24;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;7.85;7.72
B;392;"Colegiul Tehnic ""Petru Maior""";4061100289;URBAN;Electric;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;6.75;6.85
B;393;"Colegiul Tehnic ""Petru Maior""";4061100289;URBAN;Mecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;6.50;6.77
B;396;"Colegiul Tehnic ""Iuliu Maniu""";4061101141;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.32;7.10
B;397;"Colegiul Tehnic ""Iuliu Maniu""";4061101141;URBAN;Stiinte Sociale;Limba romana;-;78;78;Zi;Umanist;Teoretica;Liceal;7.25;7.39
B;398;"Colegiul Tehnic ""Iuliu Maniu""";4061101141;URBAN;Electric;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.30;3.50
B;399;"Colegiul Tehnic ""Iuliu Maniu""";4061101141;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;4.05;3.80
B;400;"Colegiul Tehnic ""Iuliu Maniu""";4061101141;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;5.80;5.92
B;375;"Liceul Teoretic ""Tudor Vladimirescu""";4061103179;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.00;9.00
B;376;"Liceul Teoretic ""Tudor Vladimirescu""";4061103179;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.92;8.92
B;377;"Liceul Teoretic ""Tudor Vladimirescu""";4061103179;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.90;8.90
B;378;"Liceul Teoretic ""Tudor Vladimirescu""";4061103179;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.85;8.88
B;379;"Liceul Teoretic ""Eugen Lovinescu""";4061100149;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;8.70;8.67
B;380;"Liceul Teoretic ""Eugen Lovinescu""";4061100149;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.65;8.70
B;381;"Liceul Teoretic ""Eugen Lovinescu""";4061100149;URBAN;Filologie;Limba romana;Limba portugheza;26;26;Zi;Umanist;Teoretica;Liceal;8.60;8.48
B;382;"Liceul Tehnologic ""Sf. Antim Ivireanu""";4061101236;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;7.57;7.31
B;394;"Liceul Tehnologic ""Petru Poni""";4061101521;URBAN;Electric;Limba romana;-;72;72;Zi;Tehnic;Tehnologica;Liceal;4.30;4.65
B;395;"Liceul Tehnologic ""Petru Poni""";4061101521;URBAN;Economic;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;5.85;6.23
B;145;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";4061103532;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.17;9.17
B;147;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";4061103532;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.02;9.06
B;146;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";4061103532;URBAN;Matematica-Informatica;Limba romana;Limba spaniola;26;26;Zi;Real;Teoretica;Liceal;8.20;8.60
B;148;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";4061103532;URBAN;Filologie;Limba romana;Limba spaniola;26;26;Zi;Umanist;Teoretica;Liceal;7.30;7.93
B;137;"Liceul Teoretic ""Nicolae Iorga""";4061101774;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.37;9.38
B;138;"Liceul Teoretic ""Nicolae Iorga""";4061101774;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.35;9.33
B;140;"Liceul Teoretic ""Nicolae Iorga""";4061101774;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.20;9.21
B;141;"Liceul Teoretic ""Nicolae Iorga""";4061101774;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.25;9.26
B;139;"Liceul Teoretic ""Nicolae Iorga""";4061101774;URBAN;Stiinte ale Naturii;Limba romana;Limba engleza;26;26;Zi;Real;Teoretica;Liceal;9.40;9.34
B;130;"Liceul Teoretic ""Jean Monnet""";4061101209;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.20;9.19
B;131;"Liceul Teoretic ""Jean Monnet""";4061101209;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.17;9.19
B;132;"Liceul Teoretic ""Jean Monnet""";4061101209;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;9.07;9.08
B;167;"Liceul Teoretic ""George Calinescu""";4061103075;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.02;9.03
B;168;"Liceul Teoretic ""George Calinescu""";4061103075;URBAN;Filologie;Limba romana;-;78;78;Zi;Umanist;Teoretica;Liceal;8.92;8.96
B;133;"Liceul Teoretic ""C-tin Brancoveanu""";4061100384;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.65;8.58
B;134;"Liceul Teoretic ""C-tin Brancoveanu""";4061100384;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.37;8.29
B;135;"Liceul Teoretic ""C-tin Brancoveanu""";4061100384;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.32;8.32
B;136;"Liceul Teoretic ""C-tin Brancoveanu""";4061100384;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.25;8.24
B;149;"Liceul Teoretic Bulgar ""Hristo Botev""";4061104085;URBAN;Matematica-Informatica;Limba romana;Limba bulgara;26;26;Zi;Real;Teoretica;Liceal;6.27;-
B;150;"Liceul Teoretic Bulgar ""Hristo Botev""";4061104085;URBAN;Filologie;Limba romana;Limba bulgara;26;26;Zi;Umanist;Teoretica;Liceal;7.95;6.94
B;151;"Liceul Teoretic Bulgar ""Hristo Botev""";4061104085;URBAN;Filologie;Limba romana;Limba bulgara;13;13;Zi;Umanist;Teoretica;Liceal;7.20;6.94
B;154;"Liceul Teoretic Bulgar ""Hristo Botev""";4061104085;URBAN;Filologie;Limba romana;Limba romani (rromani);13;13;Zi;Umanist;Teoretica;Liceal;6.07;5.65
B;153;"Liceul Teoretic Bulgar ""Hristo Botev""";4061104085;URBAN;Filologie;Limba romana;Limba rusa;13;13;Zi;Umanist;Teoretica;Liceal;7.05;6.62
B;152;"Liceul Teoretic Bulgar ""Hristo Botev""";4061104085;URBAN;Filologie;Limba romana;Limba neogreaca;13;13;Zi;Umanist;Teoretica;Liceal;7.37;6.98
B;142;"Liceul Teoretic ""Alexandru Vlahuta""";4061103401;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.85;8.91
B;143;"Liceul Teoretic ""Alexandru Vlahuta""";4061103401;URBAN;Filologie;Limba romana;Limba germana;13;13;Zi;Umanist;Teoretica;Liceal;8.67;8.68
B;144;"Liceul Teoretic ""Alexandru Vlahuta""";4061103401;URBAN;Filologie;Limba romana;Limba germana;13;13;Zi;Umanist;Teoretica;Liceal;8.82;8.86
B;155;"Liceul Greco-Catolic ""Timotei Cipariu""";4061103672;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.25;8.23
B;183;"Liceul ""Dimitrie Paciurea""";4061101955;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.00;8.08
B;161;"Colegiul Tehnic ""Media""";4061102947;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.77;7.77
B;162;"Colegiul Tehnic ""Media""";4061102947;URBAN;Productie media;Limba romana;-;192;192;Zi;Tehnic;Tehnologica;Liceal;5.15;5.81
B;163;"Colegiul Tehnic ""Media""";4061102947;URBAN;Tehnici poligrafice;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;5.05;5.60
B;169;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";4061103586;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.15;8.16
B;170;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";4061103586;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.02;8.11
B;171;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";4061103586;URBAN;Mecanica;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;6.55;6.81
B;172;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";4061103586;URBAN;Electromecanica;Limba romana;-;72;72;Zi;Tehnic;Tehnologica;Liceal;5.80;6.42
B;105;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.50;9.47
B;109;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.55;9.51
B;110;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.32;9.36
B;114;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.42;9.43
B;106;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Matematica-Informatica;Limba romana;Limba germana;13;13;Zi;Real;Teoretica;Liceal;9.60;9.47
B;107;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Matematica-Informatica;Limba romana;Limba germana;13;13;Zi;Real;Teoretica;Liceal;9.60;9.53
B;111;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Filologie;Limba romana;Limba germana;13;13;Zi;Umanist;Teoretica;Liceal;9.15;9.07
B;112;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Filologie;Limba romana;Limba germana;13;13;Zi;Umanist;Teoretica;Liceal;9.27;9.33
B;108;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;26;Zi;Real;Teoretica;Liceal;9.67;9.60
B;113;"Colegiul National ""I.L.Caragiale""";4061103306;URBAN;Filologie;Limba romana;Limba engleza;26;26;Zi;Umanist;Teoretica;Liceal;9.35;9.36
B;120;"Colegiul German ""Goethe""";4061101385;URBAN;Teor.real spec.germana;Limba germana;-;25;25;Zi;Real;Teoretica;Liceal;9.28;9.58
B;121;"Colegiul German ""Goethe""";4061101385;URBAN;Matematica-Informatica;Limba germana;-;26;26;Zi;Real;Teoretica;Liceal;8.78;8.79
B;122;"Colegiul German ""Goethe""";4061101385;URBAN;Filologie;Limba germana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.21;8.42
B;123;"Colegiul German ""Goethe""";4061101385;URBAN;Teor.uman.spec.germana;Limba germana;-;25;25;Zi;Umanist;Teoretica;Liceal;8.96;9.15
B;156;"Colegiul Economic ""V. Madgearu""";4061101046;URBAN;Economic;Limba romana;-;216;216;Zi;Servicii;Tehnologica;Liceal;8.85;8.93
B;157;"Colegiul Economic ""V. Madgearu""";4061101046;URBAN;Turism Si alimentatie;Limba romana;-;24;24;Zi;Servicii;Tehnologica;Liceal;9.02;9.10
B;176;"Colegiul Tehnic ""Mircea cel Batran""";4061100859;URBAN;Economic;Limba romana;-;96;96;Zi;Servicii;Tehnologica;Liceal;6.07;6.26
B;177;"Colegiul Tehnic ""Mircea cel Batran""";4061100859;URBAN;Mecanica;Limba romana;-;72;72;Zi;Tehnic;Tehnologica;Liceal;4.12;2.89
B;178;"Colegiul Tehnic de Arhitectura Si Lucrari Publice ""Ioan N. Socolescu""";4061100737;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.20;8.13
B;179;"Colegiul Tehnic de Arhitectura Si Lucrari Publice ""Ioan N. Socolescu""";4061100737;URBAN;Constructii, instalatii Si lucrari publice;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;7.37;7.05
B;101;"Colegiul National ""Sfantul Sava""";4061103541;URBAN;Matematica-Informatica;Limba romana;-;156;156;Zi;Real;Teoretica;Liceal;9.75;9.77
B;103;"Colegiul National ""Sfantul Sava""";4061103541;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.85;9.87
B;104;"Colegiul National ""Sfantul Sava""";4061103541;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.67;9.66
B;102;"Colegiul National ""Sfantul Sava""";4061103541;URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;29;Zi;Real;Teoretica;Liceal;9.95;9.89
B;180;"Colegiul Tehnologic ""Viaceslav Harnaj""";4061103749;URBAN;Economic;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;6.82;6.92
B;181;"Colegiul Tehnologic ""Viaceslav Harnaj""";4061103749;URBAN;Turism Si alimentatie;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;5.97;6.11
B;182;"Colegiul Tehnologic ""Viaceslav Harnaj""";4061103749;URBAN;Agricultura;Limba romana;-;96;96;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;4.67;5.25
B;164;"Colegiul Tehnic Mecanic ""Grivita""";4061103039;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.55;7.62
B;165;"Colegiul Tehnic Mecanic ""Grivita""";4061103039;URBAN;Turism Si alimentatie;Limba romana;-;24;24;Zi;Servicii;Tehnologica;Liceal;6.20;5.95
B;166;"Colegiul Tehnic Mecanic ""Grivita""";4061103039;URBAN;Mecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.95;5.60
B;173;"Colegiul Tehnic Feroviar ""Mihai I""";4061100122;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.72;7.41
B;174;"Colegiul Tehnic Feroviar ""Mihai I""";4061100122;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;7.20;7.08
B;175;"Colegiul Tehnic Feroviar ""Mihai I""";4061100122;URBAN;Electric;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.92;5.29
