j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;223;Liceul Teoretic ”C.A. Rosetti”;4061100158;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.05;9.07
B;224;Liceul Teoretic ”C.A. Rosetti”;4061100158;URBAN;Stiinte ale Naturii;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.02;9.04
B;225;Liceul Teoretic ”C.A. Rosetti”;4061100158;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.00;9.04
B;244;"Liceul Tehnologic ""Ion I.C. Bratianu""";4061102151;URBAN;Industrie alimentara;Limba romana;-;24;24;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;6.55;6.53
B;245;"Liceul Tehnologic ""Ion I.C. Bratianu""";4061102151;URBAN;Turism Si alimentatie;Limba romana;-;72;72;Zi;Servicii;Tehnologica;Liceal;5.80;6.22
B;246;"Liceul Tehnologic ""Ion I.C. Bratianu""";4061102151;URBAN;Electric;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.72;-
B;247;"Liceul Tehnologic ""Ion I.C. Bratianu""";4061102151;URBAN;Mecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;4.37;3.46
B;238;Liceul Tehnologic ”Sfantul Pantelimon”;4061103211;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;7.50;7.29
B;239;Liceul Tehnologic ”Sfantul Pantelimon”;4061103211;URBAN;Stiinte Sociale;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;7.75;7.70
B;240;Liceul Tehnologic ”Sfantul Pantelimon”;4061103211;URBAN;Mecanica;Limba romana;-;24;24;Zi;Tehnic;Tehnologica;Liceal;5.17;5.59
B;241;Liceul Tehnologic ”Constantin BrancuSi”;4061103125;URBAN;Turism Si alimentatie;Limba romana;-;72;72;Zi;Servicii;Tehnologica;Liceal;7.07;7.05
B;242;Liceul Tehnologic ”Constantin BrancuSi”;4061103125;URBAN;Fabricarea produselor din lemn;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;5.25;5.45
B;243;Liceul Tehnologic ”Constantin BrancuSi”;4061103125;URBAN;Protectia mediului;Limba romana;-;24;24;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;6.72;6.45
B;234;Colegiul Tehnic ”Dimitrie Leonida”;4061102721;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;7.62;7.53
B;235;Colegiul Tehnic ”Dimitrie Leonida”;4061102721;URBAN;Electronica automatizari;Limba romana;-;48;48;Zi;Tehnic;Tehnologica;Liceal;5.45;6.24
