j;lc;l;t;a;p;f;m;sp
B;209;Şcoala Gimnazială nr. 127;42;Unitate de învăţământ;URBAN;Munţii Carpaţi 72 052026;214231092;214231092
B;210;Şcoala Gimnazială nr. 128;41;Unitate de învăţământ;URBAN;Creangă Ion 6 050864;214102219;214102219
B;211;Şcoala Gimnazială nr. 129;83;Unitate de învăţământ;URBAN;Izvorul Crişului 6 040894;214503775;214503775
B;212;Şcoala Gimnazială nr. 13;15;Unitate de învăţământ;URBAN;Petrila 10-12 013582;213510198;214904398
B;213;Şcoala Gimnazială nr. 131;88;Unitate de învăţământ;URBAN;Gutuilor 1 051407;214203905;214203905
B;214;Şcoala Gimnazială nr. 133;63;Unitate de învăţământ;URBAN;Stânjeneilor  3 041951;213325837;213325837
B;215;Şcoala Gimnazială nr. 134;18;Unitate de învăţământ;URBAN;Baciului  4A 052606;214503502;214503502
B;216;Şcoala Gimnazială nr. 135;38;Unitate de învăţământ;URBAN;Ferentari 72 051864;214233327;214233327
B;217;Şcoala Gimnazială nr. 136;30;Unitate de învăţământ;URBAN;Ferentari 68 051871;214501892;214501892
B;218;Şcoala Gimnazială nr. 142;57;Unitate de învăţământ;URBAN;Centurii 4 061183;214300511;214300511
B;219;Şcoala Gimnazială nr. 143;43;Unitate de învăţământ;URBAN;Banu Mărăcine 16 051072;214202440;214202440
B;220;Şcoala Gimnazială nr. 144;20;Unitate de învăţământ;URBAN;Floare de Gheaţă 1B 061703;214442093;214442093
B;221;Şcoala Gimnazială nr. 150;91;Unitate de învăţământ;URBAN;Eroii Sanitari 29-31 050471;214108408;214108408
B;222;Şcoala Gimnazială nr. 153;33;Unitate de învăţământ;URBAN;Săbăreni 21 060646;212217651;212217651
B;223;Şcoala Gimnazială nr. 156;81;Unitate de învăţământ;URBAN;Dealul Ţugulea 35 060864;314040192;314040192
B;224;Şcoala Gimnazială nr. 161;8;Unitate de învăţământ;URBAN;Giuleşti 486A 060271;212249328;212249328
B;225;Şcoala Gimnazială nr. 162;29;Unitate de învăţământ;URBAN;Copşa Mică 1A 014619;212205484;212205484
B;226;Şcoala Gimnazială nr. 163;38;Unitate de învăţământ;URBAN;Giuleşti 54 060283;212201018;212201018
B;227;Şcoala Gimnazială nr. 167;26;Unitate de învăţământ;URBAN;Crângaşi 140 060346;212205770;212205770
B;228;Şcoala Gimnazială nr. 168;5;Unitate de învăţământ;URBAN;Alizeului 9 060243;314326090;314326090
B;229;Şcoala Gimnazială nr. 169;91;Unitate de învăţământ;URBAN;Paşcani 2 062084;214132431;214132431
B;230;Şcoala Gimnazială nr. 178;53;Unitate de învăţământ;URBAN;Dridu 2 013202;216670335;216670335
B;231;Şcoala Gimnazială nr. 179;102;Unitate de învăţământ;URBAN;Ardealului 34 013435;216670247;216674272
B;232;Şcoala Gimnazială nr. 181;25;Unitate de învăţământ;URBAN;Nazarcea 30 013036;213105970;213105599
B;233;Şcoala Gimnazială nr. 183;38;Unitate de învăţământ;URBAN;Dunei 1 012846;216673280;216673280
B;234;Şcoala Gimnazială nr. 184;10;Unitate de învăţământ;URBAN;Magheri Ştefan, erou  13 013041;216672225;216672225
B;235;Şcoala Gimnazială nr. 188;56;Unitate de învăţământ;URBAN;Tufişului 13 050317;214500161;214500161
B;236;Şcoala Gimnazială nr. 190;150;Unitate de învăţământ;URBAN;Niţu Vasile, serg.  16 041543;213324689;213324689
B;237;Şcoala Gimnazială nr. 192;42;Unitate de învăţământ;URBAN;Munteniei  32 012773;216670296;216670296
B;238;Şcoala Gimnazială nr. 194;174;Unitate de învăţământ;URBAN;Obregia Alexandru 3A 041721;214610790;214610790
B;239;Şcoala Gimnazială nr. 197;122;Unitate de învăţământ;URBAN;Obcina Mare 2 061593;214134330;214134330
B;240;Şcoala Gimnazială nr. 2;29;Unitate de învăţământ;URBAN;Lacul Bucura 14 052494;214501192;214501192
B;241;Şcoala Gimnazială nr. 206;73;Unitate de învăţământ;URBAN;Ariniş 5 062032;217773980;217773980
