j;c;l;m;sp;lp;lb;nlt;fi;p;f;n;uma
B;292;Liceul Tehnologic Theodor Pallady;URBAN;Electric;Limba româna;-;24;THN;TEH;Zi;Liceal;-
B;293;"Colegiul National ""Mihai Eminescu""";URBAN;Matematica-Informatica;Limba româna;-;104;TER;REA;Zi;Liceal;9.28
B;294;"Colegiul National ""Mihai Eminescu""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.34
B;295;"Colegiul National ""Mihai Eminescu""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;9.19
B;296;"Colegiul National ""Mihai Eminescu""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;9.24
B;297;"Colegiul National ""Gheorghe Sincai""";URBAN;Matematica-Informatica;Limba româna;-;130;TER;REA;Zi;Liceal;9.69
B;298;"Colegiul National ""Gheorghe Sincai""";URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;9.67
B;299;"Colegiul National ""Gheorghe Sincai""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;9.57
B;300;"Colegiul National ""Ion Creanga""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.47
B;301;"Colegiul National ""Ion Creanga""";URBAN;Matematica-Informatica;Limba româna;Limba engleza;26;TER;REA;Zi;Liceal;9.52
B;302;"Colegiul National ""Ion Creanga""";URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;9.44
B;303;"Colegiul National ""Ion Creanga""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;9.33
B;304;"Colegiul National ""Ion Creanga""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;9.39
B;305;"Colegiul National ""Octav Onicescu""";URBAN;Matematica-Informatica;Limba româna;-;104;TER;REA;Zi;Liceal;8.66
B;306;"Colegiul National ""Octav Onicescu""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;8.66
B;307;"Colegiul National ""Octav Onicescu""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;8.72
B;308;"Colegiul Romano-Catolic ""Sfântul Iosif""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;8.67
B;309;"Liceul Teologic Adventist ""Stefan Demetrescu""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;8.87
B;310;"Liceul Tehnologic de Metrologie ""Traian Vuia""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;7.79
B;311;"Liceul Tehnologic de Metrologie ""Traian Vuia""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;7.58
B;312;"Liceul Tehnologic de Metrologie ""Traian Vuia""";URBAN;Electric;Limba româna;-;24;THN;TEH;Zi;Liceal;6.53
B;313;"Liceul Tehnologic de Metrologie ""Traian Vuia""";URBAN;Electronica automatizari;Limba româna;-;24;THN;TEH;Zi;Liceal;6.08
B;314;"Liceul Tehnologic de Metrologie ""Traian Vuia""";URBAN;Industrie textila Si pielarie;Limba româna;-;48;THN;TEH;Zi;Liceal;-
B;315;"Liceul Tehnologic de Metrologie ""Traian Vuia""";URBAN;Protectia mediului;Limba româna;-;24;THN;RES;Zi;Liceal;6.31
B;316;"Liceul Tehnologic ""Dacia""";URBAN;Electric;Limba româna;-;24;THN;TEH;Zi;Liceal;-
B;317;"Liceul Tehnologic ""Dacia""";URBAN;Protectia mediului;Limba româna;-;24;THN;RES;Zi;Liceal;-
B;318;"Liceul Tehnologic ""Mircea Vulcanescu""";URBAN;Economic;Limba româna;-;120;THN;SRV;Zi;Liceal;7.53
B;319;"Liceul Tehnologic ""Mircea Vulcanescu""";URBAN;Turism Si alimentatie;Limba româna;-;48;THN;SRV;Zi;Liceal;7.66
B;320;"Colegiul National ""Gheorghe Lazar""";URBAN;Matematica-Informatica;Limba româna;-;78;TER;REA;Zi;Liceal;9.90
B;321;"Colegiul National ""Gheorghe Lazar""";URBAN;Stiinte ale Naturii;Limba româna;-;78;TER;REA;Zi;Liceal;9.84
B;322;"Colegiul National ""Gheorghe Lazar""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.69
B;323;"Colegiul National ""Gheorghe Lazar""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;9.73
B;324;"Liceul Teoretic ""Ion Barbu""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.20
B;325;"Liceul Teoretic ""Ion Barbu""";URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;9.10
B;326;"Liceul Teoretic ""Ion Barbu""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;9.03
B;327;"Liceul Teoretic ""Dimitrie Bolintineanu""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;8.33
B;328;"Liceul Teoretic ""Dimitrie Bolintineanu""";URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;8.22
B;329;"Liceul Teoretic ""Dimitrie Bolintineanu""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;8.35
